#n time(CO_(2-way)) time(PACO_data_flow) time(P_way_PACO)
20000 0.444442 0.085859 0.118519
40000 1.23683 0.283576 0.471151
60000 1.993906 0.54113 0.883141
80000 3.554323 1.058097 1.884967
100000 4.613581 1.454614 2.665465
120000 6.039159 1.950274 3.531769
140000 8.892802 3.138836 4.588039
160000 10.792837 3.962996 7.543198
180000 12.403756 4.671149 9.130584
200000 14.133075 5.460122 10.677792
220000 16.044187 6.326533 12.180688
240000 18.176368 7.333181 14.153474
260000 20.654807 8.356747 16.142554
280000 27.223843 12.083473 18.361488
300000 30.587522 13.935461 22.888222
320000 32.882274 15.190371 29.88873
340000 35.42909 16.667082 33.741683
360000 38.027655 18.080893 36.539571
380000 40.671257 19.6142 39.59827
400000 43.367942 20.999167 42.754858
20000 0.531311 0.096436 0.117846
40000 1.420083 0.305882 0.471221
60000 2.376679 0.568745 0.874664
80000 3.948244 1.095805 1.885967
100000 5.429085 1.515516 2.662937
120000 7.238837 2.008642 3.535786
140000 9.548524 3.163006 4.587978
160000 11.909645 3.987234 7.542082
180000 14.034891 4.717864 9.133457
200000 16.351702 5.52331 10.662744
220000 19.008032 6.448643 12.308705
240000 21.703577 7.45653 14.005512
260000 24.946509 8.512868 16.152308
280000 29.037014 12.018312 18.358259
300000 33.276647 13.874914 22.88786
320000 36.227317 15.194007 30.211579
340000 39.520721 16.620173 33.723284
360000 42.767093 18.043003 36.519493
380000 45.938644 19.576555 39.606201
400000 49.504864 21.176014 42.703249
20000 0.623026 0.154626 0.125683
40000 1.66335 0.367987 0.471427
60000 3.118484 0.703401 0.883692
80000 5.01052 1.191926 1.887445
100000 6.956212 1.652787 2.663324
120000 9.148917 2.227874 3.469587
140000 11.909023 3.322963 4.584866
160000 15.051531 4.196258 7.553902
180000 17.855233 4.971235 9.12302
200000 20.934712 5.847377 10.675386
220000 23.995405 6.829714 12.30996
240000 28.222804 7.889715 14.153142
260000 32.296408 9.02039 16.147712
280000 36.042902 12.351626 18.35608
300000 41.503564 14.269164 22.891662
320000 44.988739 15.63471 30.212505
340000 49.774111 17.213788 33.734006
360000 53.923431 18.604508 36.531587
380000 58.573105 20.18091 39.589614
400000 63.333539 21.834069 42.716315
