#n dilute time(PBBS) time(PACO)
100000000 6 0.493297 0.44071
300000000 6 1.394679 1.123014
500000000 6 2.25145 1.79297
700000000 6 3.114826 2.503619
900000000 6 4.327034 3.70145
1100000000 6 5.385275 4.12131
1300000000 6 5.799359 5.966325
1500000000 6 7.672524 5.775887
1700000000 6 8.726847 6.485516
1900000000 6 9.723287 7.595983
100000000 8 0.507345 0.42899
300000000 8 1.393937 1.19373
500000000 8 2.2803 1.922028
700000000 8 3.243937 2.54631
900000000 8 4.048616 3.684076
1100000000 8 5.234004 4.095465
1300000000 8 6.60229 5.866893
1500000000 8 6.774043 8.524922
1700000000 8 8.74405 14.134438
1900000000 8 9.830037 6.981337
100000000 10 0.472682 0.409269
300000000 10 1.334798 1.106962
500000000 10 2.18664 1.825643
700000000 10 3.097903 2.553331
900000000 10 3.978159 3.258134
1100000000 10 4.902585 3.966858
1300000000 10 5.681483 4.80034
1500000000 10 6.674971 5.480539
1700000000 10 7.682591 6.227693
1900000000 10 8.609124 6.959472
100000000 20 0.475166 0.408352
300000000 20 1.345335 1.12107
500000000 20 2.222688 1.808924
700000000 20 3.128876 2.531122
900000000 20 4.014811 3.232246
1100000000 20 4.916738 3.974746
1300000000 20 5.632629 4.706754
1500000000 20 6.6996 5.470846
1700000000 20 7.544444 6.197475
1900000000 20 8.621341 6.935437
100000000 40 0.478079 0.412514
300000000 40 1.360544 1.101053
500000000 40 2.2022 1.805102
700000000 40 3.063226 2.51776
900000000 40 3.992197 3.239488
1100000000 40 4.840274 3.970683
1300000000 40 5.754562 4.690538
1500000000 40 6.545324 5.446698
1700000000 40 7.598891 6.217008
1900000000 40 8.607426 6.936348
100000000 50 0.467336 0.416282
300000000 50 1.35074 1.104362
500000000 50 2.165575 1.807873
700000000 50 3.082724 2.528198
900000000 50 4.041341 3.248329
1100000000 50 4.904706 3.95516
1300000000 50 5.707225 4.731302
1500000000 50 6.770575 5.473984
1700000000 50 7.573159 6.197722
1900000000 50 8.544438 6.94532
